Customer Order,Dist.Chl.Name,Material Group,FG Type,FG Type Desc.,Construction,Fabrication,Design Source,Business Source,Customer Group,Customer,Gender,Global Style,FG SKU,Cust.Color Code,Season,Season Year,Size,Order Qty,Sales Unit,FOB,Total FOB,SO Doc.Currency,Destination,Req.Delivery Date,RM In Date,Planned Cut Date,Original Ex.Factory Date,Revised Ex.Factory Date,Program Type,Program Type Desc.,Pack Qty,Production Lead Time,Revised Original Date Difference,Order Day,Order Year,Order Month
867536134,0,1,4,4,0,1,1,0,0,6,5,5,81,110,11,2024,89,30,1,5.739999999999999,172.2,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536135,0,1,4,4,0,1,1,0,0,6,5,5,82,110,11,2024,95,15,1,5.739999999999999,86.1,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536136,0,0,4,4,0,1,0,0,0,6,5,6,83,582,0,2023,93,20,1,4.4799999999999995,89.6,0,0,1684454400.0,1683849600.0,1684108800.0,1683590400.0,1685059200.0,1,1,50,-6,17,19,2023,5
867536137,0,0,4,4,0,1,0,0,0,6,5,6,84,582,0,2023,92,30,1,4.4799999999999995,134.39999999999998,0,0,1684454400.0,1683849600.0,1684108800.0,1683590400.0,1685059200.0,1,1,50,-6,17,19,2023,5
867536138,0,0,4,4,0,1,0,0,0,6,5,6,85,582,0,2023,89,30,1,4.4799999999999995,134.39999999999998,0,0,1684454400.0,1683849600.0,1684108800.0,1683590400.0,1685059200.0,1,1,50,-6,17,19,2023,5
867536139,0,0,4,4,0,1,0,0,0,6,5,6,86,582,0,2023,95,15,1,4.4799999999999995,67.19999999999999,0,0,1684454400.0,1683849600.0,1684108800.0,1683590400.0,1685059200.0,1,1,50,-6,17,19,2023,5
867536140,0,0,4,4,0,1,0,0,0,6,5,6,87,582,0,2023,98,5,1,4.4799999999999995,22.4,0,0,1684454400.0,1683849600.0,1684108800.0,1683590400.0,1685059200.0,1,1,50,-6,17,19,2023,5
867536141,0,0,4,4,0,1,0,0,0,6,5,6,88,14,0,2023,93,20,1,4.4799999999999995,89.6,0,0,1687996800.0,1683158400.0,1683504000.0,1683590400.0,1685059200.0,1,1,50,1,17,29,2023,6
867536142,0,0,4,4,0,1,0,0,0,6,5,6,89,14,0,2023,92,30,1,4.4799999999999995,134.39999999999998,0,0,1687996800.0,1683158400.0,1683504000.0,1683590400.0,1685059200.0,1,1,50,1,17,29,2023,6
867536143,0,0,4,4,0,1,0,0,0,6,5,6,90,14,0,2023,89,30,1,4.4799999999999995,134.39999999999998,0,0,1687996800.0,1683158400.0,1683504000.0,1683590400.0,1685059200.0,1,1,50,1,17,29,2023,6
